"config_id","config_label","description","n_col","n_row","a_true","b_true","sigma","rep","method","method_label","true_rho","true_theta","pred_rho","pred_theta","pred_a","pred_b","abs_err_a","abs_err_b","active_pixels"
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,5,"cssa_col_col","CSSA col.col",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4768
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,5,"median","Median",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4946
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,5,"wiener","Wiener",0,2.35619449019234,0,2.36,NA,NA,NA,NA,10000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,5,"bm3d","BM3D",0,2.35619449019234,0,2.36,NA,NA,NA,NA,3035
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,5,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,NA,NA,NA,NA,1000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,6,"cssa_row_row","CSSA row.row",0,2.35619449019234,0,2.36,NA,NA,NA,NA,3724
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,6,"cssa_row_col","CSSA row.col",0,2.35619449019234,3,2.36,NA,NA,NA,NA,5148
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,6,"cssa_col_row","CSSA col.row",0,2.35619449019234,-3,2.35,NA,NA,NA,NA,4661
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,6,"cssa_col_col","CSSA col.col",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4057
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,6,"median","Median",0,2.35619449019234,0,2.36,NA,NA,NA,NA,5035
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,6,"wiener","Wiener",0,2.35619449019234,0,2.36,NA,NA,NA,NA,10000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,6,"bm3d","BM3D",0,2.35619449019234,-2,2.36,NA,NA,NA,NA,4125
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,6,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,NA,NA,NA,NA,1000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,7,"cssa_row_row","CSSA row.row",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4068
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,7,"cssa_row_col","CSSA row.col",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4807
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,7,"cssa_col_row","CSSA col.row",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4943
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,7,"cssa_col_col","CSSA col.col",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4318
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,7,"median","Median",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4897
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,7,"wiener","Wiener",0,2.35619449019234,0,2.36,NA,NA,NA,NA,10000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,7,"bm3d","BM3D",0,2.35619449019234,0,2.36,NA,NA,NA,NA,3587
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,7,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,NA,NA,NA,NA,1000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,8,"cssa_row_row","CSSA row.row",0,2.35619449019234,0,2.36,NA,NA,NA,NA,3923
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,8,"cssa_row_col","CSSA row.col",0,2.35619449019234,1,2.34,NA,NA,NA,NA,4708
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,8,"cssa_col_row","CSSA col.row",0,2.35619449019234,3,2.36,NA,NA,NA,NA,4414
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,8,"cssa_col_col","CSSA col.col",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4336
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,8,"median","Median",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4951
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,8,"wiener","Wiener",0,2.35619449019234,0,2.36,NA,NA,NA,NA,10000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,8,"bm3d","BM3D",0,2.35619449019234,3,2.36,NA,NA,NA,NA,3266
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,8,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,NA,NA,NA,NA,1000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,9,"cssa_row_row","CSSA row.row",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4133
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,9,"cssa_row_col","CSSA row.col",0,2.35619449019234,4,2.34,NA,NA,NA,NA,4916
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,9,"cssa_col_row","CSSA col.row",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4782
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,9,"cssa_col_col","CSSA col.col",0,2.35619449019234,0,2.36,NA,NA,NA,NA,3848
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,9,"median","Median",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4849
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,9,"wiener","Wiener",0,2.35619449019234,0,2.36,NA,NA,NA,NA,10000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,9,"bm3d","BM3D",0,2.35619449019234,0,2.36,NA,NA,NA,NA,3045
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,9,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,NA,NA,NA,NA,1000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,10,"cssa_row_row","CSSA row.row",0,2.35619449019234,0,2.36,NA,NA,NA,NA,3890
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,10,"cssa_row_col","CSSA row.col",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4993
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,10,"cssa_col_row","CSSA col.row",0,2.35619449019234,17,2.36,NA,NA,NA,NA,4365
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,10,"cssa_col_col","CSSA col.col",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4673
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,10,"median","Median",0,2.35619449019234,0,2.36,NA,NA,NA,NA,5106
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,10,"wiener","Wiener",0,2.35619449019234,0,2.36,NA,NA,NA,NA,10000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,10,"bm3d","BM3D",0,2.35619449019234,0,2.36,NA,NA,NA,NA,3708
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,10,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,NA,NA,NA,NA,1000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,11,"cssa_row_row","CSSA row.row",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4109
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,11,"cssa_row_col","CSSA row.col",0,2.35619449019234,10,2.37,NA,NA,NA,NA,4466
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,11,"cssa_col_row","CSSA col.row",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4763
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,11,"cssa_col_col","CSSA col.col",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4064
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,11,"median","Median",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4842
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,11,"wiener","Wiener",0,2.35619449019234,0,2.36,NA,NA,NA,NA,10000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,11,"bm3d","BM3D",0,2.35619449019234,0,2.36,NA,NA,NA,NA,2912
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,11,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,NA,NA,NA,NA,1000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,12,"cssa_row_row","CSSA row.row",0,2.35619449019234,0,2.36,NA,NA,NA,NA,3820
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,12,"cssa_row_col","CSSA row.col",0,2.35619449019234,1,2.34,NA,NA,NA,NA,5052
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,12,"cssa_col_row","CSSA col.row",0,2.35619449019234,17,2.36,NA,NA,NA,NA,5055
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,12,"cssa_col_col","CSSA col.col",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4843
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,12,"median","Median",0,2.35619449019234,0,2.36,NA,NA,NA,NA,5129
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,12,"wiener","Wiener",0,2.35619449019234,0,2.36,NA,NA,NA,NA,10000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,12,"bm3d","BM3D",0,2.35619449019234,-2,2.32,NA,NA,NA,NA,4330
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,12,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,NA,NA,NA,NA,1000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,13,"cssa_row_row","CSSA row.row",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4111
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,13,"cssa_row_col","CSSA row.col",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4748
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,13,"cssa_col_row","CSSA col.row",0,2.35619449019234,0,2.36,NA,NA,NA,NA,5306
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,13,"cssa_col_col","CSSA col.col",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4169
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,13,"median","Median",0,2.35619449019234,0,2.36,NA,NA,NA,NA,5137
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,13,"wiener","Wiener",0,2.35619449019234,0,2.36,NA,NA,NA,NA,10000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,13,"bm3d","BM3D",0,2.35619449019234,0,2.36,NA,NA,NA,NA,5120
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,13,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,NA,NA,NA,NA,1000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,14,"cssa_row_row","CSSA row.row",0,2.35619449019234,0,2.36,NA,NA,NA,NA,3761
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,14,"cssa_row_col","CSSA row.col",0,2.35619449019234,0,2.36,NA,NA,NA,NA,5193
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,14,"cssa_col_row","CSSA col.row",0,2.35619449019234,3,2.36,NA,NA,NA,NA,4835
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,14,"cssa_col_col","CSSA col.col",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4045
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,14,"median","Median",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4940
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,14,"wiener","Wiener",0,2.35619449019234,0,2.36,NA,NA,NA,NA,10000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,14,"bm3d","BM3D",0,2.35619449019234,-2,2.36,NA,NA,NA,NA,3185
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,14,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,NA,NA,NA,NA,1000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,15,"cssa_row_row","CSSA row.row",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4295
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,15,"cssa_row_col","CSSA row.col",0,2.35619449019234,0,2.36,NA,NA,NA,NA,5556
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,15,"cssa_col_row","CSSA col.row",0,2.35619449019234,0,2.36,NA,NA,NA,NA,5091
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,15,"cssa_col_col","CSSA col.col",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4483
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,15,"median","Median",0,2.35619449019234,0,2.36,NA,NA,NA,NA,5180
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,15,"wiener","Wiener",0,2.35619449019234,0,2.36,NA,NA,NA,NA,10000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,15,"bm3d","BM3D",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4407
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,15,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,NA,NA,NA,NA,1000
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,16,"cssa_row_row","CSSA row.row",0,2.35619449019234,0,2.36,NA,NA,NA,NA,4106
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,16,"cssa_row_col","CSSA row.col",0,2.35619449019234,0,2.36,NA,NA,NA,NA,5248
"diag_pos_full","diag\_pos\_full","Positive full diagonal",100,100,1,0,0.2,16,"cssa_col_row","CSSA col.row",0,2.35619449019234,0,2.36,NA,NA,NA,NA,5238
