"config_id","description","n_col","n_row","a","b","visible_pixels","row_coverage","col_coverage","sigma","rep","method","mse"
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,14,"row.row",0.0010363181331881
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,14,"col.row",0.000655547529795631
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,14,"row.col",0.000467146957227858
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,14,"col.col",0.00046526541312595
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,15,"row.row",0.00185515266497437
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,15,"col.row",0.000681476619434245
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,15,"row.col",0.00101604028737291
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,15,"col.col",0.00035228333760727
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,16,"row.row",0.00118079174948042
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,16,"col.row",0.000751297194178241
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,16,"row.col",0.000579194276257978
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,16,"col.col",0.000347025913878105
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,17,"row.row",0.000849689008338727
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,17,"col.row",0.00073469165696318
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,17,"row.col",0.00062987581967073
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,17,"col.col",0.000296416464229191
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,18,"row.row",0.00135852535357304
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,18,"col.row",0.00070585172871266
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,18,"row.col",0.00055965827271074
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,18,"col.col",0.000291035242811154
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,19,"row.row",0.000829822905202748
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,19,"col.row",0.000648120108068383
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,19,"row.col",0.000346868219034868
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,19,"col.col",0.000215863226800145
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,20,"row.row",0.00180896750209807
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,20,"col.row",0.000581725089736069
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,20,"row.col",0.000629115184603557
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,20,"col.col",0.000380239238929062
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,21,"row.row",0.00140785124820712
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,21,"col.row",0.000799048755818069
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,21,"row.col",0.000653542230196694
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,21,"col.col",0.000498900534961422
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,22,"row.row",0.00123396970952201
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,22,"col.row",0.000649728412159547
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,22,"row.col",0.000576144089906945
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,22,"col.col",0.000318489002894106
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,23,"row.row",0.0014027722467863
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,23,"col.row",0.000550571583857095
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,23,"row.col",0.000559064960683715
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,23,"col.col",0.000306183184168042
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,24,"row.row",0.00104160352732146
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,24,"col.row",0.000672254778300606
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,24,"row.col",0.000482940180122294
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,24,"col.col",0.000364155058088098
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,25,"row.row",0.00115584820363407
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,25,"col.row",0.000589732088001321
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,25,"row.col",0.000478591853589218
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,25,"col.col",0.000322424033699244
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,26,"row.row",0.000805924907304027
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,26,"col.row",0.00054882461022292
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,26,"row.col",0.000329699473529077
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,26,"col.col",0.000313504574089341
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,27,"row.row",0.00113611814161712
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,27,"col.row",0.000603112016463183
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,27,"row.col",0.000614833791476279
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,27,"col.col",0.000345261379489246
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,28,"row.row",0.00103398831277907
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,28,"col.row",0.000631085731565403
