"rep","grid_id","grid_label","rho_step","theta_step","pred_rho","pred_theta","dr","dtheta"
16,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
16,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
16,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
17,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
17,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
17,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
17,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
18,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
18,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
18,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
18,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
19,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
19,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
19,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
19,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
20,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
20,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
20,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
20,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
21,"coarse","Крупный шаг",5,1,-7,3,42.9390096630006,0.10371939430479
21,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
21,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
21,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
22,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
22,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
22,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
22,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
