"config_id","config_label","mean_distance"
"diag_pos_full","Положительная диагональ",0.353553390593274
"diag_neg_full","Отрицательная диагональ",0.353553390593274
"steep_full","Крутая прямая",0.225865452272706
"steep_shifted","Крутая смещенная",0.223606797749979
