"method","method_label","grid_label","rho_step","theta_step","sigma","mean_distance","mean_rho_mse","mean_theta_mse"
"cssa_row_row","CSSA ROW-ROW","$0.5; 0.005$",0.5,0.005,0.05,0.112368062505671,0.0894314056882479,4.73297904322882e-06
"cssa_row_row","CSSA ROW-ROW","$1; 0.01$",1,0.01,0.05,0.289144757802308,0.0967416756489918,2.57513450687471e-05
"cssa_row_row","CSSA ROW-ROW","$2; 0.02$",2,0.02,0.05,0.437562325844113,0.448406506628353,6.54059194957434e-05
"bm3d","BM3D","$0.5; 0.005$",0.5,0.005,0.05,7.79828933018504,1629.90030869512,1.13708855868879
"bm3d","BM3D","$1; 0.01$",1,0.01,0.05,0.510685410056495,0.476786210532793,8.28063004797598e-05
"bm3d","BM3D","$2; 0.02$",2,0.02,0.05,2.73135603767671,473.464188511364,0.0657976529140353
"median","Median","$0.5; 0.005$",0.5,0.005,0.05,15.711060823509,914.841900301264,1.50534862325129
"median","Median","$1; 0.01$",1,0.01,0.05,0.307402773589204,0.139577897930754,2.80810775348251e-05
"median","Median","$2; 0.02$",2,0.02,0.05,0.399857986081149,0.137849225728345,2.8907028289027e-05
"wiener","Wiener","$0.5; 0.005$",0.5,0.005,0.05,11.4195991610914,2776.48771545418,1.50534862325129
"wiener","Wiener","$1; 0.01$",1,0.01,0.05,0.289144757802308,0.0967416756489918,2.57513450687471e-05
"wiener","Wiener","$2; 0.02$",2,0.02,0.05,3.79725068430637,333.050138731026,0.213923213492602
"quantile_09","Quantile 0.9","$0.5; 0.005$",0.5,0.005,0.05,0.112368062505671,0.0894314056882479,4.73297904322882e-06
"quantile_09","Quantile 0.9","$1; 0.01$",1,0.01,0.05,0.289144757802308,0.0967416756489918,2.57513450687471e-05
"quantile_09","Quantile 0.9","$2; 0.02$",2,0.02,0.05,0.398051062462968,0.137849225728345,1.30169391110534e-05
