"config_id","config_label","description","sigma","method","method_label","mean_distance","median_distance","point_weighted_mean_distance","mean_processed_active_pixels","mean_reconstructed_active_pixels"
"diag_pos_full","Положительная диагональ","Positive full diagonal",0.05,"cssa_row_row","CSSA ROW-ROW",0.353553390593274,0.353553390593274,0.353553390593274,1962.5,100
"diag_pos_full","Положительная диагональ","Positive full diagonal",0.05,"bm3d","BM3D",1.33040281098239,0.353553390593274,1.32195445140872,2405.19,99.56
"diag_pos_full","Положительная диагональ","Positive full diagonal",0.05,"median","Median",0.353553390593274,0.353553390593274,0.353553390593274,4983.38,100
"diag_pos_full","Положительная диагональ","Positive full diagonal",0.05,"wiener","Wiener",0.353553390593274,0.353553390593274,0.353553390593274,9999.81,100
"diag_pos_full","Положительная диагональ","Positive full diagonal",0.05,"quantile_09","Quantile 0.9",0.353553390593274,0.353553390593274,0.353553390593274,1000,100
"diag_neg_full","Отрицательная диагональ","Negative full diagonal",0.05,"cssa_row_row","CSSA ROW-ROW",0.38897944033072,0.353553390593274,0.38897944033072,1969.02,100
"diag_neg_full","Отрицательная диагональ","Negative full diagonal",0.05,"bm3d","BM3D",1.1741096372495,0.572756492761103,1.15980853121498,2387.42,99.56
"diag_neg_full","Отрицательная диагональ","Negative full diagonal",0.05,"median","Median",0.360765879761377,0.353553390593274,0.360765879761377,4974,100
"diag_neg_full","Отрицательная диагональ","Negative full diagonal",0.05,"wiener","Wiener",35.0017856687341,35.0017856687341,35.0017856687341,9999.83,100
"diag_neg_full","Отрицательная диагональ","Negative full diagonal",0.05,"quantile_09","Quantile 0.9",0.353553390593274,0.353553390593274,0.353553390593274,1000,100
"steep_full","Крутая прямая","Steep line crossing most of the image",0.05,"cssa_row_row","CSSA ROW-ROW",0.24980990059904,0.225865452272706,0.250010302858906,1973.07,99.17
"steep_full","Крутая прямая","Steep line crossing most of the image",0.05,"bm3d","BM3D",3.27201822216297,0.366715148309965,3.15071794692341,2473.98,98.63
"steep_full","Крутая прямая","Steep line crossing most of the image",0.05,"median","Median",0.681358535767285,0.223606797749979,0.674005164090509,4985.44,99.7
"steep_full","Крутая прямая","Steep line crossing most of the image",0.05,"wiener","Wiener",21.689859381748,21.689859381748,21.689859381748,9999.84,100
"steep_full","Крутая прямая","Steep line crossing most of the image",0.05,"quantile_09","Quantile 0.9",0.225865452272706,0.225865452272706,0.225865452272706,1000,99
"steep_shifted","Крутая смещенная","Steep shifted line with shorter visible segment",0.05,"cssa_row_row","CSSA ROW-ROW",0.223606797749979,0.223606797749979,0.223606797749979,1975.12,100
"steep_shifted","Крутая смещенная","Steep shifted line with shorter visible segment",0.05,"bm3d","BM3D",0.998739829677066,0.223606797749979,0.986813753095495,2481.83,99.96
"steep_shifted","Крутая смещенная","Steep shifted line with shorter visible segment",0.05,"median","Median",0.334802731491081,0.223606797749979,0.33053361780249,4981,99.96
"steep_shifted","Крутая смещенная","Steep shifted line with shorter visible segment",0.05,"wiener","Wiener",11.2286754630452,11.2250612470489,11.2286038872533,9999.81,99.98
"steep_shifted","Крутая смещенная","Steep shifted line with shorter visible segment",0.05,"quantile_09","Quantile 0.9",0.223606797749979,0.223606797749979,0.223606797749979,1000,100
"diag_pos_full","Положительная диагональ","Positive full diagonal",0.2,"cssa_row_row","CSSA ROW-ROW",0.353553390593274,0.353553390593274,0.353553390593274,3984.42,100
"diag_pos_full","Положительная диагональ","Positive full diagonal",0.2,"bm3d","BM3D",0.948737529038814,0.353553390593274,0.931651819063593,4143.53,99.29
"diag_pos_full","Положительная диагональ","Positive full diagonal",0.2,"median","Median",0.353553390593274,0.353553390593274,0.353553390593274,5125.21,100
"diag_pos_full","Положительная диагональ","Positive full diagonal",0.2,"wiener","Wiener",0.353553390593274,0.353553390593274,0.353553390593274,9999.97,100
"diag_pos_full","Положительная диагональ","Positive full diagonal",0.2,"quantile_09","Quantile 0.9",0.353553390593274,0.353553390593274,0.353553390593274,1000,100
"diag_neg_full","Отрицательная диагональ","Negative full diagonal",0.2,"cssa_row_row","CSSA ROW-ROW",0.377312178441142,0.353553390593274,0.377312178441142,3973.62,100
"diag_neg_full","Отрицательная диагональ","Negative full diagonal",0.2,"bm3d","BM3D",2.11469657085257,0.579827560572969,2.07451388253778,4326.99,98.8
"diag_neg_full","Отрицательная диагональ","Negative full diagonal",0.2,"median","Median",0.361331565186326,0.353553390593274,0.361331565186326,5137.65,100
"diag_neg_full","Отрицательная диагональ","Negative full diagonal",0.2,"wiener","Wiener",35.0017856687341,35.0017856687341,35.0017856687341,9999.97,100
"diag_neg_full","Отрицательная диагональ","Negative full diagonal",0.2,"quantile_09","Quantile 0.9",0.353553390593274,0.353553390593274,0.353553390593274,1000,100
"steep_full","Крутая прямая","Steep line crossing most of the image",0.2,"cssa_row_row","CSSA ROW-ROW",17.428549853747,22.5440373491529,17.5045761809532,4001.39,99.56
"steep_full","Крутая прямая","Steep line crossing most of the image",0.2,"bm3d","BM3D",8.39233672605053,0.66856173872721,8.137305302678,4184.95,97.92
"steep_full","Крутая прямая","Steep line crossing most of the image",0.2,"median","Median",1.71471884819303,0.223606797749979,1.67702854615939,5117.87,99.66
"steep_full","Крутая прямая","Steep line crossing most of the image",0.2,"wiener","Wiener",21.689859381748,21.689859381748,21.689859381748,9999.93,100
"steep_full","Крутая прямая","Steep line crossing most of the image",0.2,"quantile_09","Quantile 0.9",0.225865452272706,0.225865452272706,0.225865452272706,1000,99
"steep_shifted","Крутая смещенная","Steep shifted line with shorter visible segment",0.2,"cssa_row_row","CSSA ROW-ROW",0.223606797749979,0.223606797749979,0.223606797749979,3993.62,100
"steep_shifted","Крутая смещенная","Steep shifted line with shorter visible segment",0.2,"bm3d","BM3D",2.30619600972278,0.223606797749979,2.23938964828841,4262.07,99.63
"steep_shifted","Крутая смещенная","Steep shifted line with shorter visible segment",0.2,"median","Median",0.834431688028442,0.223606797749979,0.797210738028012,5133.15,99.87
"steep_shifted","Крутая смещенная","Steep shifted line with shorter visible segment",0.2,"wiener","Wiener",11.2250612470489,11.2250612470489,11.2250612470489,9999.91,100
"steep_shifted","Крутая смещенная","Steep shifted line with shorter visible segment",0.2,"quantile_09","Quantile 0.9",0.223606797749979,0.223606797749979,0.223606797749979,1000,100
