"config_id","config_label","sigma","rep","method","method_label","grid_label","rho_step","theta_step","pred_rho","pred_theta","rho_mse","theta_mse","reconstructed_mean_distance","processed_active_pixels"
"diag_pos_full","Положительная диагональ",0.2,1,"cssa_row_row","CSSA ROW-ROW","$2; 0.02$",2,0.02,0,2.34,0,0.000262261512589958,1.06066017177982,3902
"diag_pos_full","Положительная диагональ",0.2,1,"cssa_row_row","CSSA ROW-ROW","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,3902
"diag_pos_full","Положительная диагональ",0.2,1,"cssa_row_row","CSSA ROW-ROW","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,3902
"diag_pos_full","Положительная диагональ",0.2,1,"bm3d","BM3D","$2; 0.02$",2,0.02,0,2.34,0,0.000262261512589958,1.06066017177982,3667
"diag_pos_full","Положительная диагональ",0.2,1,"bm3d","BM3D","$1; 0.01$",1,0.01,0,2.35,0,3.83717087430553e-05,0.353553390593274,3667
"diag_pos_full","Положительная диагональ",0.2,1,"bm3d","BM3D","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,3667
"diag_pos_full","Положительная диагональ",0.2,1,"median","Median","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,5111
"diag_pos_full","Положительная диагональ",0.2,1,"median","Median","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,5111
"diag_pos_full","Положительная диагональ",0.2,1,"median","Median","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,5111
"diag_pos_full","Положительная диагональ",0.2,1,"wiener","Wiener","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,4994
"diag_pos_full","Положительная диагональ",0.2,1,"wiener","Wiener","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,4994
"diag_pos_full","Положительная диагональ",0.2,1,"wiener","Wiener","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,4994
"diag_pos_full","Положительная диагональ",0.2,1,"quantile_09","Quantile 0.9","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
"diag_pos_full","Положительная диагональ",0.2,1,"quantile_09","Quantile 0.9","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
"diag_pos_full","Положительная диагональ",0.2,1,"quantile_09","Quantile 0.9","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,1000
"diag_pos_full","Положительная диагональ",0.2,2,"cssa_row_row","CSSA ROW-ROW","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,4179
"diag_pos_full","Положительная диагональ",0.2,2,"cssa_row_row","CSSA ROW-ROW","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,4179
"diag_pos_full","Положительная диагональ",0.2,2,"cssa_row_row","CSSA ROW-ROW","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,4179
"diag_pos_full","Положительная диагональ",0.2,2,"bm3d","BM3D","$2; 0.02$",2,0.02,72,0.8,5184,2.42174129130501,34.7613693631307,4843
"diag_pos_full","Положительная диагональ",0.2,2,"bm3d","BM3D","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,4843
"diag_pos_full","Положительная диагональ",0.2,2,"bm3d","BM3D","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,4843
"diag_pos_full","Положительная диагональ",0.2,2,"median","Median","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,5117
"diag_pos_full","Положительная диагональ",0.2,2,"median","Median","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,5117
"diag_pos_full","Положительная диагональ",0.2,2,"median","Median","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,5117
"diag_pos_full","Положительная диагональ",0.2,2,"wiener","Wiener","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,5188
"diag_pos_full","Положительная диагональ",0.2,2,"wiener","Wiener","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,5188
"diag_pos_full","Положительная диагональ",0.2,2,"wiener","Wiener","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,5188
"diag_pos_full","Положительная диагональ",0.2,2,"quantile_09","Quantile 0.9","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
"diag_pos_full","Положительная диагональ",0.2,2,"quantile_09","Quantile 0.9","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
"diag_pos_full","Положительная диагональ",0.2,2,"quantile_09","Quantile 0.9","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,1000
"diag_pos_full","Положительная диагональ",0.2,3,"cssa_row_row","CSSA ROW-ROW","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,3880
"diag_pos_full","Положительная диагональ",0.2,3,"cssa_row_row","CSSA ROW-ROW","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,3880
"diag_pos_full","Положительная диагональ",0.2,3,"cssa_row_row","CSSA ROW-ROW","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,3880
"diag_pos_full","Положительная диагональ",0.2,3,"bm3d","BM3D","$2; 0.02$",2,0.02,0,2.38,0,0.000566702297202361,1.68291413922398,4382
"diag_pos_full","Положительная диагональ",0.2,3,"bm3d","BM3D","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,4382
"diag_pos_full","Положительная диагональ",0.2,3,"bm3d","BM3D","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,4382
"diag_pos_full","Положительная диагональ",0.2,3,"median","Median","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,5091
"diag_pos_full","Положительная диагональ",0.2,3,"median","Median","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,5091
"diag_pos_full","Положительная диагональ",0.2,3,"median","Median","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,5091
"diag_pos_full","Положительная диагональ",0.2,3,"wiener","Wiener","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,4928
"diag_pos_full","Положительная диагональ",0.2,3,"wiener","Wiener","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,4928
"diag_pos_full","Положительная диагональ",0.2,3,"wiener","Wiener","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,4928
"diag_pos_full","Положительная диагональ",0.2,3,"quantile_09","Quantile 0.9","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
"diag_pos_full","Положительная диагональ",0.2,3,"quantile_09","Quantile 0.9","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
"diag_pos_full","Положительная диагональ",0.2,3,"quantile_09","Quantile 0.9","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,1000
"diag_pos_full","Положительная диагональ",0.2,4,"cssa_row_row","CSSA ROW-ROW","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,3807
"diag_pos_full","Положительная диагональ",0.2,4,"cssa_row_row","CSSA ROW-ROW","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,3807
"diag_pos_full","Положительная диагональ",0.2,4,"cssa_row_row","CSSA ROW-ROW","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,3807
"diag_pos_full","Положительная диагональ",0.2,4,"bm3d","BM3D","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,3272
"diag_pos_full","Положительная диагональ",0.2,4,"bm3d","BM3D","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,3272
"diag_pos_full","Положительная диагональ",0.2,4,"bm3d","BM3D","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,3272
"diag_pos_full","Положительная диагональ",0.2,4,"median","Median","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,5018
"diag_pos_full","Положительная диагональ",0.2,4,"median","Median","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,5018
"diag_pos_full","Положительная диагональ",0.2,4,"median","Median","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,5018
"diag_pos_full","Положительная диагональ",0.2,4,"wiener","Wiener","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,5009
"diag_pos_full","Положительная диагональ",0.2,4,"wiener","Wiener","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,5009
"diag_pos_full","Положительная диагональ",0.2,4,"wiener","Wiener","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,5009
"diag_pos_full","Положительная диагональ",0.2,4,"quantile_09","Quantile 0.9","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
"diag_pos_full","Положительная диагональ",0.2,4,"quantile_09","Quantile 0.9","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
