"config_id","config_label","sigma","rep","method","method_label","grid_label","rho_step","theta_step","pred_rho","pred_theta","rho_mse","theta_mse","reconstructed_mean_distance","processed_active_pixels"
"diag_pos_full","Положительная диагональ",0.05,3,"bm3d","BM3D","$2; 0.02$",2,0.02,2,2.34,4,0.000262261512589958,1.06066017177982,2001
"diag_pos_full","Положительная диагональ",0.05,3,"bm3d","BM3D","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,2001
"diag_pos_full","Положительная диагональ",0.05,3,"bm3d","BM3D","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,2001
"diag_pos_full","Положительная диагональ",0.05,3,"median","Median","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,4894
"diag_pos_full","Положительная диагональ",0.05,3,"median","Median","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,4894
"diag_pos_full","Положительная диагональ",0.05,3,"median","Median","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,4894
"diag_pos_full","Положительная диагональ",0.05,3,"wiener","Wiener","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,4586
"diag_pos_full","Положительная диагональ",0.05,3,"wiener","Wiener","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,4586
"diag_pos_full","Положительная диагональ",0.05,3,"wiener","Wiener","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,4586
"diag_pos_full","Положительная диагональ",0.05,3,"quantile_09","Quantile 0.9","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
"diag_pos_full","Положительная диагональ",0.05,3,"quantile_09","Quantile 0.9","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
"diag_pos_full","Положительная диагональ",0.05,3,"quantile_09","Quantile 0.9","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,1000
"diag_pos_full","Положительная диагональ",0.05,4,"cssa_row_row","CSSA ROW-ROW","$2; 0.02$",2,0.02,2,2.34,4,0.000262261512589958,1.06066017177982,1853
"diag_pos_full","Положительная диагональ",0.05,4,"cssa_row_row","CSSA ROW-ROW","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,1853
"diag_pos_full","Положительная диагональ",0.05,4,"cssa_row_row","CSSA ROW-ROW","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,1853
"diag_pos_full","Положительная диагональ",0.05,4,"bm3d","BM3D","$2; 0.02$",2,0.02,2,2.36,4,1.44819048961587e-05,2.46393909320673,2595
"diag_pos_full","Положительная диагональ",0.05,4,"bm3d","BM3D","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,2595
"diag_pos_full","Положительная диагональ",0.05,4,"bm3d","BM3D","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,2595
"diag_pos_full","Положительная диагональ",0.05,4,"median","Median","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,5082
"diag_pos_full","Положительная диагональ",0.05,4,"median","Median","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,5082
"diag_pos_full","Положительная диагональ",0.05,4,"median","Median","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,5082
"diag_pos_full","Положительная диагональ",0.05,4,"wiener","Wiener","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,4870
"diag_pos_full","Положительная диагональ",0.05,4,"wiener","Wiener","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,4870
"diag_pos_full","Положительная диагональ",0.05,4,"wiener","Wiener","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,4870
"diag_pos_full","Положительная диагональ",0.05,4,"quantile_09","Quantile 0.9","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
"diag_pos_full","Положительная диагональ",0.05,4,"quantile_09","Quantile 0.9","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
"diag_pos_full","Положительная диагональ",0.05,4,"quantile_09","Quantile 0.9","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,1000
"diag_pos_full","Положительная диагональ",0.05,5,"cssa_row_row","CSSA ROW-ROW","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,2003
"diag_pos_full","Положительная диагональ",0.05,5,"cssa_row_row","CSSA ROW-ROW","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,2003
"diag_pos_full","Положительная диагональ",0.05,5,"cssa_row_row","CSSA ROW-ROW","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,2003
"diag_pos_full","Положительная диагональ",0.05,5,"bm3d","BM3D","$2; 0.02$",2,0.02,4,2.34,16,0.000262261512589958,2.85728862601911,1402
"diag_pos_full","Положительная диагональ",0.05,5,"bm3d","BM3D","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,1402
"diag_pos_full","Положительная диагональ",0.05,5,"bm3d","BM3D","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,1402
"diag_pos_full","Положительная диагональ",0.05,5,"median","Median","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,4854
"diag_pos_full","Положительная диагональ",0.05,5,"median","Median","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,4854
"diag_pos_full","Положительная диагональ",0.05,5,"median","Median","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,4854
"diag_pos_full","Положительная диагональ",0.05,5,"wiener","Wiener","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,4609
