"config_id","config_label","sigma","rep","method","method_label","pred_rho","pred_theta","rho_mse","theta_mse","reconstructed_mean_distance","processed_active_pixels"
"diag_pos_full","Положительная диагональ",0.2,10,"median","Median",0,2.36,0,1.44819048961587e-05,0.353553390593274,1275
"diag_pos_full","Положительная диагональ",0.2,10,"wiener","Wiener",0,2.36,0,1.44819048961587e-05,0.353553390593274,462
"diag_pos_full","Положительная диагональ",0.2,10,"quantile_09","Quantile 0.9",0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
"diag_neg_full","Отрицательная диагональ",0.2,1,"cssa_row_row","CSSA ROW-ROW",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,173
"diag_neg_full","Отрицательная диагональ",0.2,1,"bm3d","BM3D",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,101
"diag_neg_full","Отрицательная диагональ",0.2,1,"median","Median",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,1094
"diag_neg_full","Отрицательная диагональ",0.2,1,"wiener","Wiener",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,430
"diag_neg_full","Отрицательная диагональ",0.2,1,"quantile_09","Quantile 0.9",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,1000
"diag_neg_full","Отрицательная диагональ",0.2,2,"cssa_row_row","CSSA ROW-ROW",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,179
"diag_neg_full","Отрицательная диагональ",0.2,2,"bm3d","BM3D",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,101
"diag_neg_full","Отрицательная диагональ",0.2,2,"median","Median",71,0.78,0.1745442225354,2.91401680655501e-05,0.353553390593274,1308
"diag_neg_full","Отрицательная диагональ",0.2,2,"wiener","Wiener",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,517
"diag_neg_full","Отрицательная диагональ",0.2,2,"quantile_09","Quantile 0.9",71,0.78,0.1745442225354,2.91401680655501e-05,0.353553390593274,1000
"diag_neg_full","Отрицательная диагональ",0.2,3,"cssa_row_row","CSSA ROW-ROW",71,0.78,0.1745442225354,2.91401680655501e-05,0.353553390593274,162
"diag_neg_full","Отрицательная диагональ",0.2,3,"bm3d","BM3D",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,100
"diag_neg_full","Отрицательная диагональ",0.2,3,"median","Median",72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,1368
"diag_neg_full","Отрицательная диагональ",0.2,3,"wiener","Wiener",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,495
"diag_neg_full","Отрицательная диагональ",0.2,3,"quantile_09","Quantile 0.9",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,1000
"diag_neg_full","Отрицательная диагональ",0.2,4,"cssa_row_row","CSSA ROW-ROW",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,181
"diag_neg_full","Отрицательная диагональ",0.2,4,"bm3d","BM3D",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,100
"diag_neg_full","Отрицательная диагональ",0.2,4,"median","Median",71,0.78,0.1745442225354,2.91401680655501e-05,0.353553390593274,1169
"diag_neg_full","Отрицательная диагональ",0.2,4,"wiener","Wiener",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,468
"diag_neg_full","Отрицательная диагональ",0.2,4,"quantile_09","Quantile 0.9",71,0.78,0.1745442225354,2.91401680655501e-05,0.353553390593274,1000
"diag_neg_full","Отрицательная диагональ",0.2,5,"cssa_row_row","CSSA ROW-ROW",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,167
"diag_neg_full","Отрицательная диагональ",0.2,5,"bm3d","BM3D",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,100
"diag_neg_full","Отрицательная диагональ",0.2,5,"median","Median",72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,1176
"diag_neg_full","Отрицательная диагональ",0.2,5,"wiener","Wiener",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,467
"diag_neg_full","Отрицательная диагональ",0.2,5,"quantile_09","Quantile 0.9",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,1000
