"config_id","config_label","rho_mse","theta_mse"
"diag_pos_full","Положительная диагональ",0,1.44819048961587e-05
"diag_neg_full","Отрицательная диагональ",0.1745442225354,2.11769001165851e-05
"steep_full","Крутая прямая",0.2,6.31237335209922e-05
"steep_shifted","Крутая смещенная",0.0124224800605672,4.2228417412524e-06
