"config_id","description","n_col","n_row","a","b","sigma","rep","method","method_label","true_rho","true_theta","pred_rho","pred_theta","processed_active_pixels","reconstructed_active_pixels","reconstructed_sum_distance","reconstructed_mean_distance","config_label"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,6,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,1000,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,7,"cssa_row_row","CSSA ROW-ROW",0,2.35619449019234,0,2.36,3923,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,7,"bm3d","BM3D",0,2.35619449019234,3,2.36,3266,96,304.055915910215,3.16724912406474,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,7,"median","Median",0,2.35619449019234,0,2.36,5006,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,7,"wiener","Wiener",0,2.35619449019234,0,2.36,10000,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,7,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,1000,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,8,"cssa_row_row","CSSA ROW-ROW",0,2.35619449019234,0,2.36,4133,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,8,"bm3d","BM3D",0,2.35619449019234,0,2.36,3045,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,8,"median","Median",0,2.35619449019234,0,2.36,4911,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,8,"wiener","Wiener",0,2.35619449019234,0,2.36,10000,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,8,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,1000,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,9,"cssa_row_row","CSSA ROW-ROW",0,2.35619449019234,0,2.36,3890,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,9,"bm3d","BM3D",0,2.35619449019234,0,2.36,3708,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,9,"median","Median",0,2.35619449019234,0,2.36,5167,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,9,"wiener","Wiener",0,2.35619449019234,0,2.36,10000,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,9,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,1000,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,10,"cssa_row_row","CSSA ROW-ROW",0,2.35619449019234,0,2.36,4109,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,10,"bm3d","BM3D",0,2.35619449019234,0,2.36,2912,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,10,"median","Median",0,2.35619449019234,0,2.36,4916,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,10,"wiener","Wiener",0,2.35619449019234,0,2.36,10000,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,10,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,1000,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,11,"cssa_row_row","CSSA ROW-ROW",0,2.35619449019234,0,2.36,3820,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,11,"bm3d","BM3D",0,2.35619449019234,-2,2.32,4330,97,453.255446740577,4.67273656433584,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,11,"median","Median",0,2.35619449019234,0,2.36,5189,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,11,"wiener","Wiener",0,2.35619449019234,0,2.36,10000,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,11,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,1000,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,12,"cssa_row_row","CSSA ROW-ROW",0,2.35619449019234,0,2.36,4111,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,12,"bm3d","BM3D",0,2.35619449019234,0,2.36,5120,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,12,"median","Median",0,2.35619449019234,0,2.36,5204,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,12,"wiener","Wiener",0,2.35619449019234,0,2.36,10000,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,12,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,1000,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,13,"cssa_row_row","CSSA ROW-ROW",0,2.35619449019234,0,2.36,3761,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,13,"bm3d","BM3D",0,2.35619449019234,-2,2.36,3185,98,171.826947828331,1.75333620232991,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,13,"median","Median",0,2.35619449019234,0,2.36,4999,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,13,"wiener","Wiener",0,2.35619449019234,0,2.36,10000,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
"diag_pos_full","Positive full diagonal",100,100,1,0,0.2,13,"quantile_09","Quantile 0.9",0,2.35619449019234,0,2.36,1000,100,35.3553390593274,0.353553390593274,"Положительная диагональ"
