"config_id","rep","row_id","true_col","omega","omega_wrapped","argmax_error","mse","near_mass_share","active_share_0001","active_share_01","frequency_band"
"steep_full",1,1,1,0,0,0,0.000257470438478073,0.728345044516306,0.55,0.01,"1--10"
"steep_full",1,2,1,0,0,0,0.00199860317897244,0.950035015783269,0.07,0.01,"1--10"
"steep_full",1,3,2,-0.0628318530717959,-0.0628318530717959,0,0.000517798232295306,0.936725595845818,0.09,0.02,"1--10"
"steep_full",1,4,2,-0.0628318530717959,-0.0628318530717959,0,0.00192821065265782,0.594627040301978,0.47,0.02,"1--10"
"steep_full",1,5,3,-0.125663706143592,-0.125663706143592,0,0.000846647252609205,0.77473710854847,0.53,0.01,"1--10"
"steep_full",1,6,3,-0.125663706143592,-0.125663706143592,0,0.000766920702498246,0.736885657830189,0.48,0.02,"1--10"
"steep_full",1,7,4,-0.188495559215388,-0.188495559215388,0,0.000597816015911109,0.782178443850549,0.58,0.03,"1--10"
"steep_full",1,8,4,-0.188495559215388,-0.188495559215388,0,0.000702262715460625,0.88593631546748,0.31,0.01,"1--10"
"steep_full",1,9,5,-0.251327412287183,-0.251327412287183,0,0.000185875815128479,0.778256763464504,0.5,0.01,"1--10"
"steep_full",1,10,5,-0.251327412287183,-0.251327412287183,0,0.000715178393749327,0.820808295674093,0.24,0.02,"1--10"
"steep_full",1,11,6,-0.314159265358979,-0.314159265358979,0,0.00176794461511065,0.850868318931571,0.25,0.02,"1--10"
"steep_full",1,12,6,-0.314159265358979,-0.314159265358979,0,0.00257362022857405,0.748258098725561,0.43,0.03,"1--10"
"steep_full",1,13,7,-0.376991118430775,-0.376991118430775,0,0.000759263263411032,0.726702510879621,0.41,0.01,"1--10"
"steep_full",1,14,7,-0.376991118430775,-0.376991118430775,0,0.000407968183741877,0.84638919656398,0.27,0.01,"1--10"
"steep_full",1,15,8,-0.439822971502571,-0.439822971502571,0,0.000351749650104166,0.744086806386149,0.78,0.03,"1--10"
"steep_full",1,16,8,-0.439822971502571,-0.439822971502571,0,0.000854717505202918,0.69691586985019,0.44,0.02,"1--10"
"steep_full",1,17,9,-0.502654824574367,-0.502654824574367,0,0.000375243209856264,0.804441232692146,0.23,0.01,"1--10"
"steep_full",1,18,9,-0.502654824574367,-0.502654824574367,0,0.00111985750727489,0.747398637661975,0.38,0.03,"1--10"
"steep_full",1,19,10,-0.565486677646163,-0.565486677646163,0,0.00147660867088815,0.762695611927176,0.46,0.01,"1--10"
"steep_full",1,20,10,-0.565486677646163,-0.565486677646163,0,0.000618459026367635,0.760949166795944,0.25,0.02,"1--10"
"steep_full",1,21,11,-0.628318530717959,-0.628318530717959,0,0.00277788184657625,0.556639649059489,0.51,0.03,"11--20"
"steep_full",1,22,11,-0.628318530717959,-0.628318530717959,0,0.000673192436137205,0.728302160565762,0.43,0.01,"11--20"
"steep_full",1,23,12,-0.691150383789754,-0.691150383789754,0,0.00172746776291801,0.905346622411277,0.28,0.02,"11--20"
"steep_full",1,24,12,-0.691150383789754,-0.691150383789754,0,0.00228322611259869,0.695145742018798,0.51,0.03,"11--20"
"steep_full",1,25,13,-0.75398223686155,-0.75398223686155,82,0.0176347941975619,0.141625392032435,0.5,0,"11--20"
"steep_full",1,26,13,-0.75398223686155,-0.75398223686155,0,0.00178367009256315,0.673727458975191,0.49,0.02,"11--20"
"steep_full",1,27,14,-0.816814089933346,-0.816814089933346,0,0.00127866000332585,0.74430857247509,0.48,0.02,"11--20"
"steep_full",1,28,14,-0.816814089933346,-0.816814089933346,0,0.00228468410432498,0.652961885283623,0.44,0.02,"11--20"
"steep_full",1,29,15,-0.879645943005142,-0.879645943005142,0,0.000366938090341862,0.884787093949456,0.22,0.01,"11--20"
"steep_full",1,30,15,-0.879645943005142,-0.879645943005142,0,0.000322762594960045,0.929100189067814,0.13,0.01,"11--20"
"steep_full",1,31,16,-0.942477796076938,-0.942477796076938,0,0.000672971006964196,0.614649940843614,0.54,0.02,"11--20"
"steep_full",1,32,16,-0.942477796076938,-0.942477796076938,0,0.000112136156168093,0.810745623114404,0.42,0.01,"11--20"
"steep_full",1,33,17,-1.00530964914873,-1.00530964914873,0,0.000376107437898607,0.766791542828799,0.4,0.01,"11--20"
"steep_full",1,34,17,-1.00530964914873,-1.00530964914873,0,0.000396719287959578,0.942108036704361,0.14,0.01,"11--20"
"steep_full",1,35,18,-1.06814150222053,-1.06814150222053,0,0.00343610888231603,0.754018770716729,0.43,0.02,"11--20"
"steep_full",1,36,18,-1.06814150222053,-1.06814150222053,0,0.000507765040869996,0.975120028323209,0.08,0.01,"11--20"
"steep_full",1,37,19,-1.13097335529233,-1.13097335529233,0,0.000628035229076141,0.764919544758293,0.6,0.01,"11--20"
"steep_full",1,38,19,-1.13097335529233,-1.13097335529233,0,0.00300374155404692,0.550060951889349,0.43,0.03,"11--20"
"steep_full",1,39,20,-1.19380520836412,-1.19380520836412,0,0.00446783943591888,0.429523204524108,0.71,0.03,"11--20"
"steep_full",1,40,20,-1.19380520836412,-1.19380520836412,0,0.00104275929285748,0.723341246102304,0.45,0.03,"11--20"
"steep_full",1,41,21,-1.25663706143592,-1.25663706143592,0,0.000838726731231286,0.641624163909951,0.44,0.02,"21--30"
"steep_full",1,42,21,-1.25663706143592,-1.25663706143592,0,0.00113099199656426,0.759401672832594,0.37,0.02,"21--30"
"steep_full",1,43,22,-1.31946891450771,-1.31946891450771,0,0.00162394636285223,0.689337790810972,0.43,0.03,"21--30"
"steep_full",1,44,22,-1.31946891450771,-1.31946891450771,0,0.000700356241983407,0.802404134423579,0.33,0.01,"21--30"
"steep_full",1,45,23,-1.38230076757951,-1.38230076757951,0,0.000852753799659461,0.619829346085374,0.41,0.03,"21--30"
"steep_full",1,46,23,-1.38230076757951,-1.38230076757951,0,0.000333197156622468,0.7270150496921,0.5,0.01,"21--30"
"steep_full",1,47,24,-1.4451326206513,-1.4451326206513,0,0.0010297883073726,0.761970516892996,0.39,0.01,"21--30"
"steep_full",1,48,24,-1.4451326206513,-1.4451326206513,0,0.000949054190527092,0.728614736948599,0.38,0.03,"21--30"
"steep_full",1,49,25,-1.5079644737231,-1.5079644737231,0,0.00119423629977975,0.733041114684151,0.53,0.02,"21--30"
"steep_full",1,50,25,-1.5079644737231,-1.5079644737231,0,0.00139895206083653,0.661611504654144,0.42,0.01,"21--30"
"steep_full",1,51,26,-1.5707963267949,-1.5707963267949,0,0.00136453892638851,0.806883904881976,0.38,0.02,"21--30"
"steep_full",1,52,26,-1.5707963267949,-1.5707963267949,0,0.00104616948821719,0.630416674733219,0.62,0.02,"21--30"
"steep_full",1,53,27,-1.63362817986669,-1.63362817986669,0,0.000271649689901991,0.883334420656108,0.19,0.01,"21--30"
"steep_full",1,54,27,-1.63362817986669,-1.63362817986669,0,0.00233592974430326,0.594519416912346,0.43,0.03,"21--30"
"steep_full",1,55,28,-1.69646003293849,-1.69646003293849,25,0.0112512630884477,0.0798725468052246,0.76,0.01,"21--30"
"steep_full",1,56,28,-1.69646003293849,-1.69646003293849,0,0.000484370937575108,0.747776083393219,0.37,0.02,"21--30"
"steep_full",1,57,29,-1.75929188601028,-1.75929188601028,0,0.000681258805841168,0.877784143181351,0.19,0.02,"21--30"
"steep_full",1,58,29,-1.75929188601028,-1.75929188601028,0,0.000424207270297538,0.94057754993893,0.22,0.01,"21--30"
"steep_full",1,59,30,-1.82212373908208,-1.82212373908208,0,0.00127919450262681,0.573151544245809,0.43,0.02,"21--30"
"steep_full",1,60,30,-1.82212373908208,-1.82212373908208,0,0.000754536764424215,0.669017407603657,0.55,0.02,"21--30"
"steep_full",1,61,31,-1.88495559215388,-1.88495559215388,0,0.00223425154456884,0.779150164320936,0.22,0.03,"31--40"
"steep_full",1,62,31,-1.88495559215388,-1.88495559215388,0,0.00094333826290896,0.928496938368071,0.25,0.01,"31--40"
"steep_full",1,63,32,-1.94778744522567,-1.94778744522567,0,0.00108314787352828,0.78448748772963,0.37,0.03,"31--40"
"steep_full",1,64,32,-1.94778744522567,-1.94778744522567,0,0.00159259072717787,0.712803998416232,0.39,0.03,"31--40"
"steep_full",1,65,33,-2.01061929829747,-2.01061929829747,20,0.0136246695285196,0.00442415323081918,0.37,0.01,"31--40"
"steep_full",1,66,33,-2.01061929829747,-2.01061929829747,0,0.000663957715349214,0.615998972699431,0.54,0.02,"31--40"
"steep_full",1,67,34,-2.07345115136926,-2.07345115136926,0,0.00153455098351328,0.80374677252667,0.39,0.02,"31--40"
"steep_full",1,68,34,-2.07345115136926,-2.07345115136926,0,0.000591309183550756,0.759710869753558,0.41,0.01,"31--40"
"steep_full",1,69,35,-2.13628300444106,-2.13628300444106,0,0.000454065949437905,0.81883546194578,0.41,0.02,"31--40"
"steep_full",1,70,35,-2.13628300444106,-2.13628300444106,46,0.0148079251651748,0.00165715883642994,0.43,0.01,"31--40"
"steep_full",1,71,36,-2.19911485751286,-2.19911485751286,0,4.40425562244468e-05,0.918016691747129,0.19,0.01,"31--40"
"steep_full",1,72,36,-2.19911485751286,-2.19911485751286,0,0.00101588297654294,0.755249137980186,0.43,0.01,"31--40"
"steep_full",1,73,37,-2.26194671058465,-2.26194671058465,0,0.000244181358356953,0.882379782498977,0.2,0.01,"31--40"
"steep_full",1,74,37,-2.26194671058465,-2.26194671058465,0,0.0012757053827566,0.721496713238834,0.43,0.02,"31--40"
"steep_full",1,75,38,-2.32477856365645,-2.32477856365645,0,0.00161405696095338,0.828579765224716,0.35,0.02,"31--40"
"steep_full",1,76,38,-2.32477856365645,-2.32477856365645,0,0.00114217669635275,0.790649414324519,0.07,0.03,"31--40"
"steep_full",1,77,39,-2.38761041672824,-2.38761041672824,0,0.000890918018541611,0.840924464259687,0.48,0.01,"31--40"
"steep_full",1,78,39,-2.38761041672824,-2.38761041672824,0,0.0026591161217428,0.82241587338142,0.43,0.01,"31--40"
"steep_full",1,79,40,-2.45044226980004,-2.45044226980004,0,0.000752602571487645,0.830290708957522,0.58,0.02,"31--40"
"steep_full",1,80,40,-2.45044226980004,-2.45044226980004,0,0.000668650447921338,0.777231444712916,0.27,0.03,"31--40"
"steep_full",1,81,41,-2.51327412287183,-2.51327412287183,0,0.000531595478536451,0.815054540570218,0.34,0.01,"41--50"
"steep_full",1,82,41,-2.51327412287183,-2.51327412287183,0,0.000407113059575027,0.901655470513418,0.14,0.01,"41--50"
"steep_full",1,83,42,-2.57610597594363,-2.57610597594363,0,0.000998505150365595,0.733467685705113,0.45,0.01,"41--50"
"steep_full",1,84,42,-2.57610597594363,-2.57610597594363,0,0.00101114978010474,0.545075037361132,0.51,0.01,"41--50"
"steep_full",1,85,43,-2.63893782901543,-2.63893782901543,0,0.00199462727994453,0.744172579642058,0.41,0.03,"41--50"
"steep_full",1,86,43,-2.63893782901543,-2.63893782901543,0,0.000124198837479654,0.87140572867028,0.4,0.01,"41--50"
"steep_full",1,87,44,-2.70176968208722,-2.70176968208722,0,0.00213696052183865,0.822147668388581,0.42,0.01,"41--50"
"steep_full",1,88,44,-2.70176968208722,-2.70176968208722,0,0.000598942806984053,0.760384492209524,0.47,0.01,"41--50"
"steep_full",1,89,45,-2.76460153515902,-2.76460153515902,0,0.00110535999703255,0.83666906523264,0.1,0.02,"41--50"
"steep_full",1,90,45,-2.76460153515902,-2.76460153515902,0,0.00149322318385514,0.746993719044336,0.54,0.02,"41--50"
"steep_full",1,91,46,-2.82743338823081,-2.82743338823081,0,0.00105820524995429,0.874306723312332,0.42,0.01,"41--50"
"steep_full",1,92,46,-2.82743338823081,-2.82743338823081,0,0.00191428374871711,0.7340126794654,0.47,0.02,"41--50"
"steep_full",1,93,47,-2.89026524130261,-2.89026524130261,0,0.00244128230729585,0.638481702475266,0.47,0.03,"41--50"
"steep_full",1,94,47,-2.89026524130261,-2.89026524130261,0,0.00215900759538143,0.875408939273221,0.4,0.01,"41--50"
"steep_full",1,95,48,-2.95309709437441,-2.95309709437441,17,0.0151647777060954,0.0355368266112825,0.36,0.02,"41--50"
"steep_full",1,96,48,-2.95309709437441,-2.95309709437441,0,9.84002686927963e-05,0.796232145102016,0.34,0.01,"41--50"
"steep_full",1,97,49,-3.0159289474462,-3.0159289474462,0,0.0030236803029513,0.679685851177643,0.51,0.02,"41--50"
"steep_full",1,98,49,-3.0159289474462,-3.0159289474462,0,0.00103381905340329,0.846075019714839,0.07,0.02,"41--50"
"steep_full",1,99,50,-3.078760800518,-3.078760800518,0,0.000570902011559353,0.875092211255414,0.43,0.01,"41--50"
"steep_full",1,100,50,-3.078760800518,-3.078760800518,0,0.002892286564154,0.685685957503823,0.46,0.03,"41--50"
"steep_full",2,1,1,0,0,0,0.00179130011082714,0.852399678533711,0.28,0.01,"1--10"
"steep_full",2,2,1,0,0,0,0.000529309133040328,0.82220546331838,0.38,0.01,"1--10"
"steep_full",2,3,2,-0.0628318530717959,-0.0628318530717959,0,0.000449053263780181,0.828345094324147,0.48,0.01,"1--10"
"steep_full",2,4,2,-0.0628318530717959,-0.0628318530717959,0,0.00170703644058067,0.72407361008648,0.41,0.02,"1--10"
"steep_full",2,5,3,-0.125663706143592,-0.125663706143592,0,0.000551835535363963,0.799766218616307,0.29,0.02,"1--10"
"steep_full",2,6,3,-0.125663706143592,-0.125663706143592,0,0.000444045646708801,0.953858767546969,0.22,0.01,"1--10"
"steep_full",2,7,4,-0.188495559215388,-0.188495559215388,39,0.0130355956875777,0.0581392824490109,0.44,0.01,"1--10"
"steep_full",2,8,4,-0.188495559215388,-0.188495559215388,0,0.00291486186344745,0.572177343044428,0.43,0.02,"1--10"
"steep_full",2,9,5,-0.251327412287183,-0.251327412287183,0,0.00274048476145273,0.758596400752057,0.46,0.02,"1--10"
"steep_full",2,10,5,-0.251327412287183,-0.251327412287183,0,0.000486030071781704,0.737508938766112,0.52,0.01,"1--10"
"steep_full",2,11,6,-0.314159265358979,-0.314159265358979,0,0.000152148939246579,0.834622362233013,0.52,0.01,"1--10"
"steep_full",2,12,6,-0.314159265358979,-0.314159265358979,0,0.00145348577965171,0.664772524726338,0.5,0.03,"1--10"
"steep_full",2,13,7,-0.376991118430775,-0.376991118430775,0,0.000603660904477667,0.695449813252317,0.61,0.02,"1--10"
"steep_full",2,14,7,-0.376991118430775,-0.376991118430775,0,0.00111489825527741,0.925743562306488,0.29,0.01,"1--10"
"steep_full",2,15,8,-0.439822971502571,-0.439822971502571,0,0.00109672890060218,0.666401374012848,0.36,0.02,"1--10"
"steep_full",2,16,8,-0.439822971502571,-0.439822971502571,0,0.00115866354855242,0.732830156917722,0.46,0.01,"1--10"
"steep_full",2,17,9,-0.502654824574367,-0.502654824574367,0,0.00126300922667668,0.692517565931956,0.44,0.02,"1--10"
"steep_full",2,18,9,-0.502654824574367,-0.502654824574367,0,0.00131768508190628,0.640905067941867,0.44,0.05,"1--10"
"steep_full",2,19,10,-0.565486677646163,-0.565486677646163,0,0.000317899361253858,0.906082598878825,0.11,0.02,"1--10"
"steep_full",2,20,10,-0.565486677646163,-0.565486677646163,0,0.00063355226039055,0.863992161202798,0.37,0.02,"1--10"
"steep_full",2,21,11,-0.628318530717959,-0.628318530717959,0,0.00121027354485358,0.755829955264118,0.45,0.02,"11--20"
"steep_full",2,22,11,-0.628318530717959,-0.628318530717959,0,0.000391166925476973,0.768776174794397,0.28,0.01,"11--20"
"steep_full",2,23,12,-0.691150383789754,-0.691150383789754,0,0.00384795124753919,0.63853559761574,0.44,0.03,"11--20"
"steep_full",2,24,12,-0.691150383789754,-0.691150383789754,0,0.00019152626899647,0.81273838608918,0.49,0.01,"11--20"
"steep_full",2,25,13,-0.75398223686155,-0.75398223686155,0,0.00173144216819549,0.80200935460393,0.41,0.03,"11--20"
"steep_full",2,26,13,-0.75398223686155,-0.75398223686155,0,0.000326381631011553,0.840338892337601,0.38,0.01,"11--20"
"steep_full",2,27,14,-0.816814089933346,-0.816814089933346,0,0.00319530250751537,0.965429492932494,0.28,0.01,"11--20"
"steep_full",2,28,14,-0.816814089933346,-0.816814089933346,0,0.00187830473954066,0.703803671341585,0.43,0.03,"11--20"
"steep_full",2,29,15,-0.879645943005142,-0.879645943005142,0,0.000918238248318664,0.845310106511424,0.3,0.01,"11--20"
"steep_full",2,30,15,-0.879645943005142,-0.879645943005142,0,0.000241285258921752,0.906370270930578,0.46,0.01,"11--20"
"steep_full",2,31,16,-0.942477796076938,-0.942477796076938,0,0.00324731992829347,0.831076948266464,0.72,0.01,"11--20"
"steep_full",2,32,16,-0.942477796076938,-0.942477796076938,0,0.000585463779368265,0.892321485858863,0.21,0.01,"11--20"
"steep_full",2,33,17,-1.00530964914873,-1.00530964914873,0,0.000550040092823819,0.773199008129634,0.37,0.02,"11--20"
"steep_full",2,34,17,-1.00530964914873,-1.00530964914873,61,0.011317095639753,0.148499859794756,0.18,0,"11--20"
"steep_full",2,35,18,-1.06814150222053,-1.06814150222053,0,0.000106015067614661,0.857140475144238,0.25,0.01,"11--20"
"steep_full",2,36,18,-1.06814150222053,-1.06814150222053,0,0.000114117270716455,0.936765006781605,0.24,0.01,"11--20"
"steep_full",2,37,19,-1.13097335529233,-1.13097335529233,0,0.00102548189080569,0.840043907033078,0.05,0.03,"11--20"
"steep_full",2,38,19,-1.13097335529233,-1.13097335529233,0,0.00197153587962724,0.872232175113831,0.27,0.01,"11--20"
"steep_full",2,39,20,-1.19380520836412,-1.19380520836412,0,0.000520640788016243,0.671642192062745,0.48,0.01,"11--20"
"steep_full",2,40,20,-1.19380520836412,-1.19380520836412,0,0.00157159153019025,0.592210629098224,0.47,0.03,"11--20"
"steep_full",2,41,21,-1.25663706143592,-1.25663706143592,0,0.00124013466826348,0.643405508774347,0.47,0.02,"21--30"
"steep_full",2,42,21,-1.25663706143592,-1.25663706143592,0,0.000409217933889548,0.879102101189644,0.22,0.01,"21--30"
"steep_full",2,43,22,-1.31946891450771,-1.31946891450771,0,0.000970610493755445,0.74209573277395,0.41,0.03,"21--30"
"steep_full",2,44,22,-1.31946891450771,-1.31946891450771,0,0.000472786951356567,0.721517957992673,0.43,0.02,"21--30"
"steep_full",2,45,23,-1.38230076757951,-1.38230076757951,30,0.0153857175602542,0.0391615345449087,0.47,0.02,"21--30"
"steep_full",2,46,23,-1.38230076757951,-1.38230076757951,0,0.00111011751842561,0.797937685250246,0.33,0.01,"21--30"
"steep_full",2,47,24,-1.4451326206513,-1.4451326206513,0,0.000826206888945157,0.740433820545722,0.38,0.02,"21--30"
"steep_full",2,48,24,-1.4451326206513,-1.4451326206513,0,0.00227704524358136,0.807128426701922,0.41,0.01,"21--30"
"steep_full",2,49,25,-1.5079644737231,-1.5079644737231,0,0.00280983694435234,0.62715619592917,0.49,0.01,"21--30"
"steep_full",2,50,25,-1.5079644737231,-1.5079644737231,25,0.0147128139136047,0,0.26,0.02,"21--30"
"steep_full",2,51,26,-1.5707963267949,-1.5707963267949,0,0.000593785425814789,0.786249697447626,0.39,0.02,"21--30"
"steep_full",2,52,26,-1.5707963267949,-1.5707963267949,0,0.000471104156703756,0.821028506196426,0.6,0.02,"21--30"
"steep_full",2,53,27,-1.63362817986669,-1.63362817986669,0,0.000416614322217862,0.830209441531575,0.29,0.01,"21--30"
"steep_full",2,54,27,-1.63362817986669,-1.63362817986669,0,0.00175165949845096,0.609286691454305,0.59,0.03,"21--30"
"steep_full",2,55,28,-1.69646003293849,-1.69646003293849,0,0.00044295195727024,0.865963235748737,0.47,0.02,"21--30"
"steep_full",2,56,28,-1.69646003293849,-1.69646003293849,0,0.000530256951276213,0.848113935219339,0.32,0.01,"21--30"
"steep_full",2,57,29,-1.75929188601028,-1.75929188601028,0,0.000189101797009546,0.859867209039146,0.32,0.01,"21--30"
"steep_full",2,58,29,-1.75929188601028,-1.75929188601028,0,0.000178158189284733,0.94048697394861,0.12,0.01,"21--30"
"steep_full",2,59,30,-1.82212373908208,-1.82212373908208,0,0.000748597669769688,0.904018744646978,0.21,0.02,"21--30"
"steep_full",2,60,30,-1.82212373908208,-1.82212373908208,0,0.00286516769545691,0.787834063800567,0.5,0.02,"21--30"
"steep_full",2,61,31,-1.88495559215388,-1.88495559215388,0,0.000376289817176082,0.775213216463347,0.43,0.01,"31--40"
"steep_full",2,62,31,-1.88495559215388,-1.88495559215388,0,0.000563550540274451,0.875712790132488,0.35,0.02,"31--40"
"steep_full",2,63,32,-1.94778744522567,-1.94778744522567,0,0.00314942896135143,0.268312611657331,0.97,0.02,"31--40"
"steep_full",2,64,32,-1.94778744522567,-1.94778744522567,0,0.00193618523257993,0.601113392297889,0.37,0.01,"31--40"
"steep_full",2,65,33,-2.01061929829747,-2.01061929829747,0,0.00116600790215052,0.612592805293744,0.71,0.03,"31--40"
"steep_full",2,66,33,-2.01061929829747,-2.01061929829747,0,0.0012598260267507,0.883682348705724,0.36,0.01,"31--40"
